day/month;Time;Temperature;Dew Point;Humidity;Wind;Wind Speed;Wind Gust;Pressure;Precip.;Precip Accum;Condition
16.Jul;12:00 AM;57 F;52 F;82 %;E;2 mph;0 mph;28.81 in;0.0 in;Fair
16.Jul;12:30 AM;57 F;54 F;88 %;SE;4 mph;0 mph;28.81 in;0.0 in;Fair
16.Jul;1:00 AM;57 F;54 F;88 %;SSE;4 mph;0 mph;28.81 in;0.0 in;Fair
16.Jul;1:30 AM;57 F;54 F;88 %;E;2 mph;0 mph;28.78 in;0.0 in;Fair
16.Jul;2:00 AM;55 F;54 F;94 %;SE;2 mph;0 mph;28.78 in;0.0 in;Fair
16.Jul;2:30 AM;55 F;54 F;94 %;SSE;2 mph;0 mph;28.78 in;0.0 in;Fair
16.Jul;3:00 AM;55 F;54 F;94 %;SSE;2 mph;0 mph;28.78 in;0.0 in;Fair
16.Jul;3:30 AM;55 F;52 F;88 %;SE;2 mph;0 mph;28.78 in;0.0 in;Fair
16.Jul;4:00 AM;54 F;52 F;94 %;CALM;0 mph;0 mph;28.78 in;0.0 in;Fair
16.Jul;4:30 AM;54 F;50 F;88 %;CALM;0 mph;0 mph;28.78 in;0.0 in;Fair
16.Jul;5:00 AM;54 F;50 F;88 %;SSE;2 mph;0 mph;28.78 in;0.0 in;Fair
16.Jul;5:30 AM;52 F;50 F;94 %;VAR;2 mph;0 mph;28.78 in;0.0 in;Fair
16.Jul;6:00 AM;52 F;52 F;100 %;SE;2 mph;0 mph;28.78 in;0.0 in;Fair
16.Jul;6:30 AM;54 F;52 F;94 %;SE;2 mph;0 mph;28.78 in;0.0 in;Fair
16.Jul;7:00 AM;55 F;55 F;100 %;SSE;2 mph;0 mph;28.78 in;0.0 in;Fair
16.Jul;7:30 AM;59 F;55 F;88 %;S;2 mph;0 mph;28.78 in;0.0 in;Fair
16.Jul;8:00 AM;61 F;55 F;82 %;VAR;2 mph;0 mph;28.78 in;0.0 in;Fair
16.Jul;8:30 AM;64 F;55 F;73 %;VAR;2 mph;0 mph;28.78 in;0.0 in;Fair
16.Jul;9:00 AM;66 F;55 F;68 %;SSW;4 mph;0 mph;28.78 in;0.0 in;Fair
